x_i    u(x_i)
0.79296875    0.621310420673175
0.796875    0.622945648254858
0.80078125    0.624606521885263
0.8046875    0.626293309356126
0.80859375    0.628006279855557
0.8125    0.629745703968086
0.81640625    0.631511853674706
0.8203125    0.633305002352912
0.82421875    0.635125424776734
0.828125    0.636973397116775
0.83203125    0.63884919694024
0.8359375    0.640753103210966
0.83984375    0.642685396289445
0.84375    0.644646357932851
0.84765625    0.646636271295066
0.8515625    0.648655420926693
0.85546875    0.650704092775083
0.859375    0.652782574184349
0.86328125    0.654891153895382
0.8671875    0.657030122045871
0.87109375    0.659199770170312
0.875    0.661400391200023
0.87890625    0.663632279463157
0.8828125    0.665895730684711
0.88671875    0.668191041986542
0.890625    0.670518511887367
0.89453125    0.672878440302782
0.8984375    0.675271128545263
0.90234375    0.677696879324178
